experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu,other
69,5,jawe,treat,15,1,0,1,1,0,1,0
69,6,rwbu,treat,15,1,0,0,0,1,1,0
69,7,rble,treat,15,1,0,0,0,0,0,0
69,8,rvbu,treat,15,1,0,0,1,1,0,0
70,1,control,con,15,1,1,0,0,0,0,0
70,2,control,con,15,1,1,0,1,0,0,0
70,3,control,con,15,1,1,0,0,0,0,0
70,4,control,con,15,1,1,0,0,0,0,0
70,5,jawe,treat,15,1,1,1,0,0,0,1
70,6,rwbu,treat,15,1,1,0,0,0,0,1
70,7,rble,treat,15,1,1,0,1,0,0,1
70,8,rvbu,treat,15,1,1,0,0,1,0,1
71,1,control,con,15,1,1,0,0,0,0,0
71,2,control,con,15,1,1,0,0,0,0,0
71,3,control,con,15,1,1,1,0,0,0,1
71,4,control,con,15,1,1,0,0,1,0,0
71,5,rvbu,treat,15,1,1,0,1,0,1,1
71,6,rble,treat,15,1,1,0,0,0,0,0
71,7,jawe,treat,15,1,1,0,1,1,1,0
71,8,rwbu,treat,15,1,1,0,0,0,0,0
72,1,control,con,15,1,1,0,0,0,0,1
72,2,control,con,15,1,1,0,0,0,1,0
72,3,control,con,15,1,1,0,0,0,0,1
72,4,control,con,15,1,1,0,0,0,0,1
72,5,jawe,treat,15,1,1,1,0,0,0,1
72,6,rvbu,treat,15,1,1,0,0,1,0,0
72,7,rble,treat,15,1,1,1,0,0,0,0
72,8,rwbu,treat,15,1,1,1,0,0,1,0
73,1,control,con,15,1,1,0,0,0,0,0
73,2,control,con,15,1,1,0,0,0,0,0
73,3,control,con,15,1,1,0,0,0,0,0
73,4,control,con,15,1,1,1,1,0,0,0
73,5,jawe,treat,15,1,1,1,1,1,0,0
73,6,rvbu,treat,15,1,1,0,0,0,0,0
73,7,rble,treat,15,1,1,1,0,0,0,0
73,8,rwbu,treat,15,1,1,0,0,0,0,0
74,1,control,con,15,1,1,0,0,0,0,1
74,2,control,con,15,1,1,0,0,0,0,0
74,3,control,con,15,1,1,0,0,0,0,1
74,4,control,con,15,1,1,0,0,1,0,0
74,5,rvbu,treat,15,1,1,0,1,0,1,1
74,6,rble,treat,15,1,1,0,1,0,0,1
74,7,jawe,treat,15,1,1,1,1,0,0,0
74,8,rwbu,treat,15,1,1,0,0,0,0,0
75,1,control,con,15,1,1,0,0,0,0,0
75,2,control,con,15,1,1,0,0,0,0,1
75,3,control,con,15,1,1,0,0,0,0,1
75,4,control,con,15,1,1,0,1,0,0,0
75,5,jawe,treat,15,1,1,1,1,0,1,0
75,6,rble,treat,15,1,1,0,0,0,1,0
75,7,rwbu,treat,15,1,1,0,0,0,0,0
75,8,rvbu,treat,15,1,1,0,0,0,1,0
76,1,control,con,15,1,1,0,0,0,0,1
76,2,control,con,15,1,1,1,0,0,0,1
76,3,control,con,15,1,1,1,0,0,0,1
76,4,control,con,15,1,1,0,1,0,1,0
76,5,jawe,treat,15,1,1,1,0,0,1,1
76,6,rble,treat,15,1,1,0,0,0,1,0
76,7,rvbu,treat,15,1,1,1,0,1,1,1
76,8,rwbu,treat,15,1,1,0,0,0,1,0
77,1,control,con,15,1,0,0,1,0,0,0
77,2,control,con,15,1,0,0,0,0,0,1
77,3,control,con,15,1,0,0,1,0,0,0
77,4,control,con,15,1,0,0,1,0,0,1
77,5,jawe,treat,15,1,0,1,1,0,0,0
77,6,rble,treat,15,1,0,0,1,0,0,1
77,7,rwbu,treat,15,1,0,0,0,0,1,0
77,8,rvbu,treat,15,1,0,0,1,1,0,0
78,1,control,con,15,1,1,0,0,0,0,0
78,2,control,con,15,1,1,0,0,1,0,1
78,3,control,con,15,1,1,0,0,1,0,0
78,4,control,con,15,1,1,0,0,0,0,0
78,5,jawe,treat,15,1,1,1,1,1,0,0
78,6,rvbu,treat,15,1,1,1,0,1,1,0
78,7,rvbu,treat,15,1,1,0,0,0,0,0
78,8,rwbu,treat,15,1,1,0,0,0,0,0
79,1,control,con,15,1,1,0,0,0,0,1
79,2,control,con,15,1,1,0,0,0,1,0
79,3,control,con,15,1,1,0,0,0,0,0
79,4,control,con,15,1,1,0,0,0,1,1
79,5,jawe,treat,15,1,1,1,0,1,1,1
79,6,jawe,treat,15,1,1,1,0,0,0,0
79,7,rvbu,treat,15,1,1,0,0,1,1,0
79,8,rwbu,treat,15,1,1,0,0,0,0,0
80,1,control,con,15,1,1,0,0,0,1,0
80,2,control,con,15,1,1,0,0,0,0,0
80,3,control,con,15,1,1,0,0,0,1,0
80,4,control,con,15,1,1,1,0,0,1,1
80,5,jawe,treat,15,1,1,0,0,0,1,0
80,6,rvbu,treat,15,1,1,1,1,1,0,0
80,7,jawe,treat,15,1,1,1,0,0,0,0
80,8,rble,treat,15,1,1,1,1,1,0,0
